post_title,post_name,post_parent,post_sub_parent,ID,post_excerpt,post_content,post_status,post_password,menu_order,post_date,post_author,comment_status,_sku,parent_sku,parent,_children,_downloadable,_virtual,_stock,_regular_price,_sale_price,_weight,_length,_width,_height,_tax_class,_visibility,_stock_status,_backorders,_manage_stock,_tax_status,_upsell_ids,_crosssell_ids,_featured,_sale_price_dates_from,_sale_price_dates_to,_download_limit,_download_expiry,_product_url,_button_text,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_metakeywords,images,downloadable_files,product_page_url,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,meta:mfn-page-local-style,meta:mfn-post-hide-content,meta:mfn-post-love,meta:mfn-post-slider,meta:mfn_single_product_template,meta:redq_adults_heading_title,meta:redq_adults_placeholder,meta:redq_allowed_times,meta:redq_book_now_button_text,meta:redq_calendar_date_format,meta:redq_calendar_time_format,meta:redq_childs_heading_title,meta:redq_childs_placeholder,meta:redq_choose_european_date_format,meta:redq_dropoff_date_heading_title,meta:redq_dropoff_date_placeholder,meta:redq_dropoff_location_heading_title,meta:redq_dropoff_time_placeholder,meta:redq_email_placeholder,meta:redq_email_title,meta:redq_first_name_placeholder,meta:redq_first_name_title,meta:redq_flip_pricing_plan_text,meta:redq_last_name_placeholder,meta:redq_last_name_title,meta:redq_max_rental_days,meta:redq_max_time_late,meta:redq_message_placeholder,meta:redq_message_title,meta:redq_min_rental_days,meta:redq_password_placeholder,meta:redq_password_title,meta:redq_phone_placeholder,meta:redq_phone_title,meta:redq_pickup_date_heading_title,meta:redq_pickup_date_placeholder,meta:redq_pickup_loc_placeholder,meta:redq_pickup_location_heading_title,meta:redq_pickup_time_placeholder,meta:redq_price_discount_cost,meta:redq_rental_before_booking_block_dates,meta:redq_rental_fri_max_time,meta:redq_rental_fri_min_time,meta:redq_rental_local_enable_single_day_time_based_booking,meta:redq_rental_local_quantity_on_days,meta:redq_rental_local_required_person,meta:redq_rental_local_required_pickup_location,meta:redq_rental_local_required_return_location,meta:redq_rental_local_show_book_now,meta:redq_rental_local_show_dropoff_date,meta:redq_rental_local_show_dropoff_time,meta:redq_rental_local_show_pickup_date,meta:redq_rental_local_show_pickup_time,meta:redq_rental_local_show_price_discount_on_days,meta:redq_rental_local_show_price_instance_payment,meta:redq_rental_local_show_pricing_flip_box,meta:redq_rental_local_show_request_quote,meta:redq_rental_mon_max_time,meta:redq_rental_mon_min_time,meta:redq_rental_off_days,meta:redq_rental_post_booking_block_dates,meta:redq_rental_required_local_pickup_time,meta:redq_rental_required_local_return_time,meta:redq_rental_sat_max_time,meta:redq_rental_sat_min_time,meta:redq_rental_starting_block_dates,meta:redq_rental_sun_max_time,meta:redq_rental_sun_min_time,meta:redq_rental_thu_max_time,meta:redq_rental_thu_min_time,meta:redq_rental_thur_max_time,meta:redq_rental_thur_min_time,meta:redq_rental_wed_max_time,meta:redq_rental_wed_min_time,meta:redq_resources_heading_title,meta:redq_return_loc_placeholder,meta:redq_rfq_button_text,meta:redq_rnb_cat_heading,meta:redq_security_deposite_heading_title,meta:redq_submit_button_text,meta:redq_time_interval,meta:redq_username_placeholder,meta:redq_username_title,meta:rnb_booking_layout,meta:rnb_enable_quantity,meta:rnb_include_trailing_date,meta:rnb_invalid_date_range_notice,meta:rnb_inventory_title,meta:rnb_max_day_notice,meta:rnb_min_day_notice,meta:rnb_pay_extra_hours,meta:rnb_quantity_label,meta:rnb_quantity_notice,meta:rnb_settings_for_conditions,meta:rnb_settings_for_display,meta:rnb_settings_for_labels,meta:rnb_settings_for_validations,meta:rnb_show_price_type,meta:rnb_unit_price,meta:rs_page_bg_color,meta:total_sales,attribute:Gradeability,attribute_data:Gradeability,attribute_default:Gradeability,attribute:Horizontal Outreach,attribute_data:Horizontal Outreach,attribute_default:Horizontal Outreach,attribute:Lift Capacity,attribute_data:Lift Capacity,attribute_default:Lift Capacity,attribute:Manufacturer,attribute_data:Manufacturer,attribute_default:Manufacturer,attribute:Platform Height,attribute_data:Platform Height,attribute_default:Platform Height,attribute:Platform Size,attribute_data:Platform Size,attribute_default:Platform Size,attribute:Power,attribute_data:Power,attribute_default:Power,attribute:Up & Over Height,attribute_data:Up & Over Height,attribute_default:Up & Over Height,attribute:Weight,attribute_data:Weight,attribute_default:Weight,attribute:Width,attribute_data:Width,attribute_default:Width,attribute:pa_drive-type,attribute_data:pa_drive-type,attribute_default:pa_drive-type,attribute:pa_fuel-type,attribute_data:pa_fuel-type,attribute_default:pa_fuel-type,URL,ID,Category,Sub Category,Daily,Weekly,Monthly,Item Cost,Deliver to Jobsite,Retrieval From Jobsite,Environmental Fee,Tax,Estimated Cost
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Articulating Boom Lift, 125 ft., 4WD, Diesel Powered","Articulating Boom Lift, 125 ft., 4WD, Diesel Powered",Aerial Work Platforms,Boom Lifts,310-9801,,"This high-reaching 125' articulating boom lift is excellent for outdoor maintenance and repair work. These man lifts have a working height over 130' and an up-and-over height of 60', making them highly versatile. This boom lift also features 4-wheel drive and can be driven safely at elevation. High-reaching lift over 130' working height
Up-and-over height up to 60'
Diesel-powered
Heavy-duty for outdoor jobsites
Heavy-duty for outdoor jobsites
Add this 125' articulating boom to your cart now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/category/310/310-9801.jpg?h=4626e670 https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/category/310/1250ajp_2.jpg?h=3c628a5f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/articulating-boom-lift-125-ft-4wd-diesel-powered,310-9801,Aerial Work Platforms,Boom Lifts,"$1,279 ","$3,995 ","$11,314 ","$1,431.00 ",$265.00 ,$265.00 ,$28.62 ,$134.49 ,"$2,124.11 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Articulating Boom Lift, 135 ft., 4WD","Articulating Boom Lift, 135 ft., 4WD",Aerial Work Platforms,Boom Lifts,310-9835,,"Get the job done with this 135' articulating boom lift. These specialized lifts are perfect for reaching high utility towers and for repair work on bridges, stadiums, hangars, and more. These four-wheel drive boom lifts have a gradeability of up to 45%, making driving the boom lift on site smooth and easy. High-reaching lift with over 141' working height
Up-and-over height up to 75' with riser extended
Maximum horizontal reach of 69' with riser retracted
Heavy duty for outdoor jobsites
Add this 135-ft. articulating boom to your cart now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2022-01/310-9835.jpeg?h=4626e670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/articulating-boom-lift-135-ft-4wd,310-9835,Aerial Work Platforms,Boom Lifts,"$1,636 ","$5,195 ","$12,254 ","$1,636.00 ",$265.00 ,$265.00 ,$32.72 ,$150.82 ,"$2,349.54 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Articulating Boom Lift, 30 ft., Electric Powered","Articulating Boom Lift, 30 ft., Electric Powered",Aerial Work Platforms,Boom Lifts,310-3050,,"This articulating electric boom lift is perfect for elevated maintenance work for indoor jobsites where fume-free operation is necessary. These efficient cherry pickers feature a self-leveling platform with an up-and-over height of 13' and a horizontal reach up to 20'. The basket crane is maneuverable enough to be used in tight spaces and safely driven while extended fully. With 2-wheel drive, these boom lifts are best driven on smooth and even surfaces, perfect for maintenance jobs or electrical work indoors. 2-wheel drive unit
Clean, efficient, fume-free operation
Safely drivable while platform is at full elevation
Platform size 48"" by 30""
Uses: Ideal for elevated indoor maintenance and construction work
Add this articulating boom lift to your cart now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2020-01/genie_Z-30_a1_1.jpg?h=d7822501 https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2020-01/z30nrj_1.jpg?h=60914f74 https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2020-01/e300ajp_1.jpg?h=f0d005a2 https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2020-01/z30_1.jpg?h=ad1846e1 https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2020-01/310-3050.jpg?h=4626e670 https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2020-01/E300AJ_3.jpg?h=f8b8bc8e https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2020-01/genie_Z-30_a1_1.jpg?h=d7822501 https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2020-01/z30nrj_1.jpg?h=60914f74 https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2020-01/e300ajp_1.jpg?h=f0d005a2 https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2020-01/z30_1.jpg?h=ad1846e1 https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2020-01/310-3050.jpg?h=4626e670 https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2020-01/E300AJ_3.jpg?h=f8b8bc8e https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2020-01/genie_Z-30_a1_1.jpg?h=d7822501 https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2020-01/z30nrj_1.jpg?h=60914f74 https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2020-01/e300ajp_1.jpg?h=f0d005a2 https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2020-01/z30_1.jpg?h=ad1846e1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/articulating-boom-lift-30-ft-electric-powered,310-3050,Aerial Work Platforms,Boom Lifts,$490 ,"$1,397 ","$3,044 ",$490.00 ,$177.50 ,$177.50 ,$9.80 ,$52.78 ,$907.58 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Articulating Boom Lift, 34 ft., Electric Powered","Articulating Boom Lift, 34 ft., Electric Powered",Aerial Work Platforms,Boom Lifts,310-3450,,"This articulating electric boom lift is perfect for elevated maintenance work. This man lift can be used indoors or outdoors since operating the machine creates almost no noise and releases zero fumes. The basket crane is maneuverable enough to be used in tight spaces and can be safely driven while extended fully to its 34' height. With 2-wheel drive, this boom lift drives best on smooth level surfaces, making it ideal for indoor electrical work and other indoor applications. 2-wheel drive unit
Clean, efficient, fume-free operation
Safely drivable while platform is at full elevation
Platform size 56 in. by 30 in.
Uses: Ideal for elevated maintenance and construction work
Add this electric articulating boom lift to your cart now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/category/310/310-3450_0.jpg?h=4626e670 https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/category/310/z34n_1_1.jpg?h=96cb42a9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/articulating-boom-lift-34-ft-electric-powered,310-3450,Aerial Work Platforms,Boom Lifts,$490 ,"$1,397 ","$3,044 ",$490.00 ,$177.50 ,$177.50 ,$9.80 ,$52.78 ,$907.58 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Articulating Boom Lift, 34 ft., Electric, Gas or Diesel Power Available","Articulating Boom Lift, 34 ft., Electric, Gas or Diesel Power Available",Aerial Work Platforms,Boom Lifts,310-3001,,"OTTO Plants' 34' articulating boom lifts take you up, out and over any obstacles. Our man lifts come in electric-, gas- or diesel-powered versions to suit your crew's needs. The electric models are quieter and also fume-free, making them excellent for indoor jobsites. The diesel- and gas-powered cherry pickers are ideal for outdoor applications with uneven terrain as they feature increased gradeabiity. In addition to offering these power options, models are also available in two- and four-wheel drive to ensure you find a boom lift perfect for the job. Electric, gas and diesel models available
Rentals available for rough terrain or finished surfaces
Reach out and over obstacles with articulating lift
Each lift is inspected for safety and operation
Uses: Ideal for elevated maintenance or construction work
Add this articulating boom lift to your cart now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2022-01/310-3001.jpeg?h=4626e670 https://www.unitedrentals.com/sites/default/files/styles/square_1_1_96x96/public/2022-01/z3422_2_1.jpeg?h=77045ef1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/articulating-boom-lift-34-ft-electric-gas-or-diesel-power-available,310-3001,Aerial Work Platforms,Boom Lifts,$504 ,"$1,294 ","$2,724 ",$504.00 ,$177.50 ,$177.50 ,$10.08 ,$53.89 ,$922.97 
