URL,ID,title,atrributes:Model,atrributes:all_values

https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scissor-lifts/scissor-lift-24-ft-26-ft-electric-powered,300-2515,"Scissor Lift, 24 ft.-26 ft., Electric Powered",{'Model Number': '2632ES'},"{'Manufacturer': 'JLG', 'Platform Height': '25\'6""', 'Stowed Height': '92""', 'Overall Dimensions': '91"" x 32""', 'Platform Size': '91"" x 30""', 'Platform Extension': '36""', 'Lift Capacity': '500/800 lbs.', 'Extension Capacity': '250 lbs.', 'Lift Speed': '33/37 sec.', 'Gradeability': '25%', 'Power': '24V', 'Weight': '4635 lbs.'}"
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scissor-lifts/scissor-lift-24-ft-26-ft-electric-powered-wide,300-2525,"Scissor Lift, 24 ft.-26 ft., Electric Powered, Wide",{'Model Number': 'GS-2646'},"{'Manufacturer': 'Genie', 'Platform Height': ""26'"", 'Stowed Height': '89""', 'Overall Dimensions': '96"" x 46""', 'Platform Size': '95"" x 46""', 'Platform Extension': '36""', 'Lift Capacity': '1,000 lbs.', 'Extension Capacity': '250 lbs.', 'Lift Speed': '30/30 sec.', 'Gradeability': '30%', 'Power': '24V', 'Weight': '4,312 lbs.'}"
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scissor-lifts/scissor-lift-25-ft-27-ft-4wd-gas-or-diesel-power-available,300-2551,"Scissor Lift, 25 ft.-27 ft., 4WD, Gas or Diesel Power Available",{'Model Number': 'SJ6826RT'},"{'Manufacturer': 'Skyjack', 'Platform Height': ""26'"", 'Stowed Height': '93.5""', 'Overall Dimensions': '107"" x 69\'5""', 'Platform Size': '96"" x 56""', 'Platform Extension': '60""', 'Lift Capacity': '1,250 lbs.', 'Extension Capacity': '300 lbs.', 'Lift Speed': '36/36 sec.', 'Travel Speed': '3.8 mph', '4WD Gradeability': '50%', 'Power': 'Gas/LP or diesel', 'Weight': '6,400 lbs.'}"
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scissor-lifts/scissor-lift-30-ft-33-ft-electric-powered,300-2995,"Scissor Lift, 30 ft.-33 ft., Electric Powered",{'Model Number': 'GS-3232'},"{'Manufacturer': 'Genie', 'Platform Height': ""32'"", 'Stowed Height': '96""', 'Overall Dimensions': '96"" x 32""', 'Platform Size': '89"" x 32""', 'Platform Extension': '36""', 'Lift Capacity': '500 lbs.', 'Extension Capacity': '250 lbs.', 'Lift Speed': '57/40 sec.', 'Gradeability': '25%', 'Power': '24V', 'Weight': '5,185 lbs.'}"
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scissor-lifts/scissor-lift-30-ft-35-ft-electric-powered,300-2999,"Scissor Lift, 30 ft.-35 ft., Electric Powered",{'Model Number': '3246ES'},"{'Manufacturer': 'JLG', 'Platform Height': '31\' 9""', 'Stowed Height': '92.8""', 'Overall Dimensions': '98.5"" x 46""', 'Platform Size': '98.5"" x 44""', 'Platform Extension': '50""', 'Lift Capacity': '1,000 lbs.', 'Extension Capacity': '250 lbs.', 'Lift Speed': '55/62 sec.', 'Gradeability': '25%', 'Power': '24V', 'Weight': '4,975 lbs.'}"
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scissor-lifts/scissor-lift-39-ft-40-ft-electric-powered,300-4000,"Scissor Lift, 39 ft.-40 ft., Electric Powered",{'Model Number': 'GS-4069DC'},"{'Manufacturer': 'Genie', 'Platform Height': ""40'"", 'Stowed Height': '108""', 'Overall Dimensions': '123"" x 69""', 'Platform Size': '110"" x 63""', 'Platform Extension': '60""', 'Lift Capacity': '800 lbs.', 'Extension Capacity': '300 lbs.', 'Lift Speed': '61/28 sec.', 'Gradeability': '35%', 'Power': '48V', 'Weight': '10,856 lbs.'}"
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scissor-lifts/scissor-lift-39-ft-40-ft-electric-powered-wide,300-4047,"Scissor Lift, 39 ft.-40 ft., Electric Powered, Wide",{'Model Number': 'GS-4047'},"{'Manufacturer': 'Genie', 'Platform Height': ""39'"", 'Stowed Height': '100""', 'Overall Dimensions': '96"" x 47""', 'Platform Size': '89"" x 45.3""', 'Platform Extension': '36""', 'Lift Capacity': '550 lbs.', 'Extension Capacity': '250 lbs.', 'Lift Speed': '71/41 sec.', 'Gradeability': '25%', 'Power': '24V', 'Weight': '7,185 lbs.'}"
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/telescopic-boom-lift-40-ft-42-ft-4wd,310-4026,"Telescopic Boom Lift, 40 ft.-42 ft., 4WD",{'Model Number': '400S'},"{'Manufacturer': 'JLG', 'Platform Height': ""40'"", 'Horizontal Outreach': '33\' 3""', 'Platform Size': '96"" x 36""', 'Lift Capacity': '600/1,000 lbs.', '4WD Gradeability': '45%', 'Width': '91""', 'Power': 'Gas/LP or Diesel', 'Weight': '13,640 lbs.'}"
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/telescopic-boom-lift-45-ft-47-ft-4wd,310-4003,"Telescopic Boom Lift, 45 ft.-47 ft., 4WD",{'Model Number': '460SJ'},"{'Manufacturer': 'JLG', 'Platform Height': ""46'"", 'Horizontal Outreach': ""39'"", 'Platform Size': '96"" x 36""', 'Lift Capacity': '600 lbs.', '4WD Gradeability': '45%', 'Width': '91""', 'Power': 'Gas/LP or Diesel', 'Weight': '16,600 lbs.'}"
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/telescopic-boom-lift-60-ft-4wd,310-6026,"Telescopic Boom Lift, 60 ft., 4WD",{'Model Number': '600S'},"{'Manufacturer': 'JLG', 'Platform Height': '59\' 8""', 'Horizontal Outreach': '50\' 2""', 'Platform Size': '96"" x 36""', 'Lift Capacity': '600/1,000 lbs.', '4WD Gradeability': '45%', 'Width': '98""', 'Power': 'Gas/LP or Diesel', 'Weight': '21,461 lbs.'}"
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/telescopic-boom-lift-65-ft-66-ft-4wd,310-6526,"Telescopic Boom Lift, 65 ft.-66 ft., 4WD",{'Model Number': '660SJ'},"{'Manufacturer': 'JLG', 'Platform Height': '65\' 8""', 'Horizontal Outreach': '57\' 1""', 'Platform Size': '96"" x 36""', 'Lift Capacity': '550/750 lbs.', '4WD Gradeability': '45%', 'Width': '98""', 'Power': 'Gas/LP or Diesel', 'Weight': '26,275 lbs.'}"
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/telescopic-boom-lift-80-ft-4wd,310-8026,"Telescopic Boom Lift, 80 ft., 4WD",{'Model Number': '860SJ'},"{'Manufacturer': 'JLG', 'Platform Height': ""80'"", 'Horizontal Outreach': ""71'"", 'Platform Size': '96"" x 36""', 'Lift Capacity': '500/1,000 lbs.', '4WD Gradeability': '45%', 'Width': '98""', 'Power': 'Gas/LP or Diesel', 'Weight': '33,030 lbs.'}"
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/telescopic-boom-lift-85-ft-86-ft-4wd,310-8526,"Telescopic Boom Lift, 85 ft.-86 ft., 4WD",{'Model Number': '860SJ'},"{'Manufacturer': 'JLG', 'Platform Height': ""86'"", 'Horizontal Outreach': ""75'"", 'Platform Size': '96"" x 36""', 'Lift Capacity': '500/750 lbs.', '4WD Gradeability': '45%', 'Width': '98""', 'Power': 'Gas/LP or Diesel', 'Weight': '36,230 lbs.'}"
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/towable-boom-lift-30-ft-36-ft-electric-or-gas-powered-available,310-3080,"Towable Boom Lift, 30 ft.-36 ft., Electric or Gas Powered Available",{'Model Number': 'TZ-34/20 DC'},"{'Manufacturer': 'JLG', 'Platform Height': ""34'"", 'Horizontal Outreach': '18\' 4""', 'Up & Over Height': '16\' 1""', 'Lift Capacity': '500 lbs.', 'w/optional Rotator': '460 lbs.', 'Platform Size': '44"" x 26.8""', 'Stowed Height': '6\' 4.5""', 'Width': '4\' 9.1""', 'Outrigger Width': '11\' 9.4""', 'Power': '24V DC', 'Weight': '3,155 lbs.'}"
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scissor-lifts/vertical-mast-lift-12-ft-electric-powered,300-1512,"Vertical Mast Lift, 12 ft., Electric Powered",{'Model Number': 'GR-12'},"{'Manufacturer': 'Genie', 'Platform Height': '11\'4""', 'Stowed Height': '62""', 'Platform Size': '35"" x 29.5""', 'Lift Capacity': '500 lbs.', 'Gradeability': '30%', 'Power': '24V', 'Weight': '1,581 lbs.'}"
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scissor-lifts/vertical-mast-lift-15-ft-electric-powered,300-1515,"Vertical Mast Lift, 15 ft., Electric Powered",{'Model Number': 'GR-15'},"{'Manufacturer': 'Genie', 'Platform Height': '14\' 8""', 'Stowed Height': '62""', 'Platform Size': '35"" x 29.5""', 'Lift Capacity': '500 lbs.', 'Gradeability': '30%', 'Power': '24V', 'Weight': '2,192 lbs.'}"
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scissor-lifts/vertical-mast-lift-20-ft-electric-powered,300-1520,"Vertical Mast Lift, 20 ft., Electric Powered",{'Model Number': '20MVL'},"{'Manufacturer': 'JLG', 'Platform Height': '19\' 1""', 'Stowed Height': '78""', 'Platform Size': '28"" x 26""', 'Lift Capacity': '350 lbs.', 'Gradeability': '20%', 'Power': '24V', 'Weight': '2,395 lbs.'}"
https://www.unitedrentals.com/marketplace/equipment/air-compressors-air-tools/air-compressors/towable-air-compressor-185-cfm-tier-4-diesel-powered,100-3186,"Towable Air Compressor, 185 CFM, Tier 4, Diesel Powered",{'Model Number': 'XAS 185 KD FT4'},"{'Manufacturer': 'Atlas Copco', 'Output': '185 CFM', 'Rated Pressure': '100 psi', 'Pressure Range': '58/125 psi', 'W x L x H': '63"" x 131"" x 61""', 'Weight': '2,330 lbs.', 'Fuel': 'Diesel'}"
https://www.unitedrentals.com/marketplace/equipment/compaction/ride-rollers/ride-double-smooth-drum-vibratory-roller-diesel-powered-15-17-ton-35-48,160-2621,"Ride-on Double Smooth-drum Vibratory Roller, Diesel-powered, 1.5-1.7 Ton, 35-48 in.",{'Model Number': 'BW900-50'},"{'Manufacturer': 'Bomag', 'Operating Weight': '2,639 lbs.', 'Drum Width': '35.4""', 'Gradeability (vib. off/on)': '40/30%', 'SAE Power': '20 hp', 'Vibration Frequency': '3,900 vpm', 'Centrifugal Force': '3,150 lbs.'}"
https://www.unitedrentals.com/marketplace/equipment/compaction/plate-compactors/vibratory-plate-compactor-gas-powered-4500-lbs-impact,150-3100,"Vibratory Plate Compactor, Gas-powered, Up to 4,500 lbs. Impact",{'Model Number': 'MVC82VH'},"{'Manufacturer': 'Multiquip', 'Centrifugal Force': '3,372 lbs.', 'Vibration Frequency': '6,000 vpm', 'Forward Speed': '82 fpm', 'Gradeability': '25 deg.', 'Engine Horsepower': '4.8 hp', 'Operating Weight': '207 lbs.', 'Plate W x L': '19.7"" x 20.7""'}"
https://www.unitedrentals.com/marketplace/equipment/earthmoving-equipment/backhoes/backhoe-loader-14-ft-dig-depth-60-90-hp-4wd,902-1020,"Backhoe Loader, 14 ft. Dig Depth, 60-90 HP, 4WD",{'Model Number': '310L EP'},"{'Manufacturer': 'John Deere', 'Horsepower': '72 p', 'Digging Depth': '14\' 1""', 'Reach From Swing Center': '17\' 9""', 'Backhoe Bucket Digging Force': '10,844 lbs.', 'Backhoe Dump Height': '11\' 1""', 'Backhoe Boom Lift Capacity G.L.': '2,258 lbs.', '24"" Standard Backhoe Bucket Capacity': '6.5 cu. ft.', '82"" Standard Loader Bucket Capacity': '1 cu. yd.', 'Breakout Force': '9,361 lbs.', 'Loader Dump Clearance': ""9'"", 'Loader Dump Reach': '27.7""', 'Operating Weight': '13,822 lbs.'}"
https://www.unitedrentals.com/marketplace/equipment/earthmoving-equipment/backhoes/backhoe-loader-17-ft-dig-depth-4wd,902-1100,"Backhoe Loader, 17 ft. Dig Depth, 4WD",{'Model Number': '310L EP EXT'},"{'Manufacturer': 'John Deere', 'Horsepower': '72 p', 'Digging Depth': '17\' 10""', 'Reach From Swing Center': '21\' 4""', 'Backhoe Bucket Digging Force': '10,844 lbs.', 'Backhoe Dump Height': '13\' 6""', 'Backhoe Boom Lift Capacity G.L.': '1,937 lbs.', '24"" Standard Backhoe Bucket Capacity': '6.5 cu. ft.', '82"" Standard Loader Bucket Capacity': '1 cu. yd.', 'Breakout Force': '9,361 lbs.', 'Loader Dump Clearance': ""9'"", 'Loader Dump Reach': '27.7""', 'Operating Weight': '14,669 lbs.'}"
https://www.unitedrentals.com/marketplace/equipment/earthmoving-equipment/mini-excavators/mini-excavator-15-2-tons,907-0035,"Mini Excavator, 1.5-2 tons",{'Model Number': 'TB216'},"{'Manufacturer': 'Takeuchi', 'Operating Weight': '3,902 lbs.', 'Digging Depth': '7\' 10""', 'Bucket Dig Force': '4,250 lbs.', 'Max Reach G.L.': '13\' 2.9""', 'Max Dump Height': '8\' 10.5""', 'Blade Size': '38.6"" x 51.2""', 'Boom Swing': '80 deg. L / 50- deg. R', 'Tail Swing': '3\' 9.4""', 'Power': '15 hp', 'W x H': '38.6"" x 7\' 5.8""'}"
